Sam Byram,sambyram93,98569
Lewis Cook,lewiscook_,46521
Siqueira,pecesiqueira,1930778
Donis Avdijaj,DonisAvdijaj,1020
Chisamba Lungu,chisambal,11091
Benjamin Jeannot,JeannotBenjamin,64
Wilker Ángel,wilkerangel,7518
Deiver Machado,Deiver27Dm,470
Diego Benaglio,DiegoBenaglio,9856
Anderson Esiti,anderson_esiti,0
Mads Albæk,reus51500,243
Joel Pohjanpalo,JPohjanpalo,11798
Orkan Çinar,Tinerrci,533
Konstantinos Lamprou,koslamprou,14505
Fabián Sambueza,FabiSambueza,12360
Nery Domínguez,angelnazarenoo,530
Kehinde Fatai,kennys_ng,117
Mossoró,tvmossoro,5290
Joao Plata,JoaoPlata10,22176
Ali Adnan,Aliadnankadhem,36015
DeAndre Yedlin,yedlinny,380142
Kevin Lasagna,lasagne_kevin,66
Rolando Aarons,RolandoAarons,86297
Federico Ricci,federicci144,401
Karim Rekik,karimrekik,143213
Orlando Sá,ORLANDOSA10,16183
Phil Jagielka,PJags06,191352
Ashley Young,youngy18,1658334
Bernard Mensah,oliver_mens,2254
Mike van der Hoorn,Mikevdhoorn,331
Atiba Hutchinson,atibahutchinson,141525
Rafael,MashiRafael,3342625
Ewerton,EwertomLinhares,2726
Roni,ronisizebristol,24041
Rubens Sambueza,rubenssambueza,576673
Antonio Ríos,Diegorios_DFR,31326
Jonathan Orozco,jona_orozco,592122
Alberto Costa,tinocostalf,56637
Granell,nuriarocagranel,231011
Ilori,TiagoIlori4,42601
Guido Rodríguez,Guido_Rodriguez,63248
Tarantini,GaboTarantini7,14261
Luís Aurélio,tallerTORKO,291
Kevin Akpoguma,Akpogumakevin,5
Johan Kappelhof,JKappelhof4,2
Rob Schoofs,schoofsrob,2078
Iver Fossum,IverFossum,960
Norbert Gyömbér,gyomber23,136
Vegard Forren,vegardforren,232
Pål André Helland,phelland8,13499
Uffe Bech,UffeBech,1824
Jérémy Perbet,Officialjperbet,5072
Kekuta Manneh,kekuta16,7694
Romain Salin,RomainSALIN,15
Serkan Kirintili,Srkn_Krntl,70
Oscar Lewicki,OLewicki,14
Yeni Ngbakoto,Yeni_Ngbakoto23,6208
Nicolás Aguirre,penkaaguirre,7049
Moestafa El Kabir,Elkabir88,26930
Vid Belec,VidBelec1,158
Wesley,sneijder101010,4315527
Leandro Chichizola,LChichizola18,68731
Vladimir Gabulov,VGabulov,2
Osmar,bandadodoeosmar,1072
Maxi Moralez,mibellotti,1839
Nathan Baker,Bakesy23,42057
Roderick,johnroderick,33148
Rafael Baca,RafaBacaJr,29536
Edgar Badía,edgarbadia,8990
José Mauri,maurijose5,26518
Andile Jali,AndileJaliFacts,3239
Lucas Evangelista,Levangelista95,1778
Maximiliano Caire,MaxiCaire10,0
Alexander Hack,AlexanderHack69,0
Enzo Fernández,EnzoTeam,2070
Carlos Fierro,werofierro,211130
Aitor Sanz,aitorpipo6,242
Lee Jae Sung,AoiJAESUNG,82
